class_name,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM,buggy
PeepholeSimplifyRegExp,1,0,29,0,14,4,0,2,1,15.0,12,0.8571428571428571,0
MinimizeExitPoints,6,1,91,0,35,14,0,4,5,13.833333333333334,324,9.257142857142858,1
RenameLabels,1,3,51,0,1,0,0,0,8,7.0,336,336.0,1
JsMessageExtractor,2,3,19,0,9,3,1,1,5,15.0,149,16.555555555555557,0
Tracer,25,16,177,2,15,4,0,3,70,16.8,2019,134.6,0
VerboseMessageFormatter,3,0,12,0,3,1,0,1,1,10.0,16,5.333333333333333,0
DiagnosticType,9,5,11,0,1,0,0,1,11,6.777777777777778,151,151.0,0
StrictModeCheck,9,13,107,0,13,7,0,3,11,11.88888888888889,128,9.846153846153848,0
JSModule,26,6,86,0,7,3,1,2,28,11.884615384615383,342,48.857142857142854,0
JsMessageDefinition,3,3,0,0,1,0,0,1,2,16.333333333333332,121,121.0,0
LiveVariablesAnalysis,10,4,94,0,39,12,0,2,5,16.1,272,6.9743589743589745,1
StatementFusion,6,0,47,0,12,5,1,7,1,23.833333333333332,69,5.75,0
VariableVisibilityAnalysis,3,2,20,0,12,5,1,1,9,15.666666666666666,234,19.5,0
FunctionRewriter,3,2,92,0,13,6,0,1,22,17.333333333333332,483,37.15384615384615,1
CheckUnreachableCode,5,3,24,0,6,2,0,2,1,9.4,12,2.0,0
DataFlowAnalysis,13,4,153,0,17,9,1,2,21,11.461538461538462,1031,60.64705882352941,0
RemoveUnusedVars,13,13,295,0,41,17,0,4,32,18.153846153846153,909,22.17073170731707,1
CollapseVariableDeclarations,3,3,70,0,17,5,0,1,9,12.333333333333334,221,13.0,1
RemoveTryCatch,1,2,23,0,1,0,0,0,2,7.0,31,31.0,0
DiagnosticGroups,7,35,44,0,2,0,0,1,4,14.714285714285714,35,17.5,1
ObjectPropertyStringPreprocess,2,6,53,0,4,1,0,0,1,13.5,47,11.75,0
CheckSideEffects,5,6,58,0,16,8,0,0,3,10.4,75,4.6875,1
FindExportableNodes,2,3,27,0,17,7,0,1,3,7.5,84,4.9411764705882355,0
PeepholeOptimizationsPass,10,4,39,0,10,4,0,2,3,11.3,55,5.5,1
JvmMetrics,10,4,136,0,20,8,0,4,1,18.3,28,1.4,0
ByPathWarningsGuard,4,5,5,0,6,3,0,2,4,8.25,177,29.5,0
DefaultPassConfig,20,120,341,0,119,51,1,3,119,19.15,964,8.100840336134453,0
FunctionNames,4,4,23,0,10,3,0,2,1,13.5,75,7.5,0
AbstractCommandLineRunner,54,19,429,0,48,19,6,9,94,18.444444444444443,1965,40.9375,1
ClosureCodeRemoval,1,6,51,0,14,6,0,0,15,7.0,229,16.357142857142858,0
OptimizeReturns,5,1,40,0,14,7,0,6,4,10.8,128,9.142857142857142,0
CheckRegExp,3,4,23,0,10,4,0,1,1,13.333333333333334,30,3.0,0
ControlFlowAnalysis,38,12,356,0,38,15,1,15,20,13.605263157894736,503,13.236842105263158,1
NameReferenceGraphReport,8,1,106,0,29,6,0,2,11,19.5,447,15.413793103448276,0
AnalyzePrototypeProperties,3,14,217,2,5,1,0,2,29,13.0,563,112.6,1
PeepholeFoldConstants,35,8,453,0,70,31,1,39,21,17.457142857142856,382,5.457142857142857,1
AbstractCompiler,51,2,1,0,1,0,0,1,52,16.764705882352942,881,881.0,0
UseSite,2,3,3,0,1,0,0,1,1,7.0,29,29.0,0
RescopeGlobalSymbols,2,6,91,0,6,1,0,0,5,20.0,319,53.166666666666664,0
XtbMessageBundle,4,3,49,0,8,0,0,1,4,12.5,95,11.875,0
CoalesceVariableNames,7,4,159,0,26,14,0,3,5,15.285714285714286,174,6.6923076923076925,1
NameGenerator,4,7,20,0,12,4,2,2,7,13.0,152,12.666666666666666,0
CheckPathsBetweenNodes,8,11,41,0,15,7,0,4,7,18.5,221,14.733333333333333,0
MethodCompilerPass,5,5,83,1,8,1,0,0,11,14.6,180,22.5,1
EmptyMessageBundle,3,0,4,0,1,0,0,1,4,11.666666666666666,35,35.0,0
AnalyzeNameReferences,3,3,23,0,4,1,0,1,4,7.333333333333333,123,30.75,0
RemoveUnusedClassProperties,5,4,54,0,10,5,1,3,2,11.6,62,6.2,0
VarCheck,6,11,87,0,27,12,1,1,5,17.0,90,3.3333333333333335,1
CompilerInput,28,8,111,0,11,3,1,2,15,11.821428571428571,274,24.90909090909091,0
ConvertToDottedProperties,2,1,18,0,11,3,0,0,1,6.0,25,2.272727272727273,0
FieldCleanupPass,2,1,23,0,1,0,0,0,3,10.0,264,264.0,0
DiagnosticGroup,6,4,18,0,4,2,0,2,11,7.833333333333333,127,31.75,0
SymbolTable,48,11,506,0,27,12,2,9,45,16.895833333333332,1445,53.51851851851852,0
PrepareAst,4,2,60,0,9,4,0,0,7,13.0,190,21.11111111111111,1
ControlStructureCheck,4,2,16,0,7,3,0,0,2,7.75,20,2.857142857142857,0
ClosureRewriteClass,16,7,176,0,28,10,0,6,4,16.25,56,2.0,0
ReplaceMessagesForChrome,4,0,38,0,13,5,1,2,1,19.25,53,4.076923076923077,0
ProcessDefines,6,10,129,0,15,7,0,1,21,12.333333333333334,477,31.8,0
PreprocessorSymbolTable,9,3,23,0,4,1,0,1,2,11.22222222222222,25,6.25,0
MarkNoSideEffectCalls,3,3,42,0,5,2,0,3,5,22.333333333333332,103,20.6,0
PrintStreamErrorManager,3,3,17,0,4,2,0,0,3,13.333333333333334,86,21.5,0
CodePrinter,1,1,88,0,8,2,0,1,27,8.0,590,73.75,1
TypeCheck,39,50,692,0,156,21,0,6,31,15.794871794871796,1056,6.769230769230769,1
PeepholeFoldWithTypes,2,0,21,0,21,9,0,2,2,14.0,145,6.904761904761905,0
PassConfig,17,4,36,0,13,5,1,1,21,17.176470588235293,335,25.76923076923077,0
AbstractPeepholeOptimization,13,1,22,0,6,3,0,1,14,17.076923076923077,316,52.666666666666664,0
RenamePrototypes,3,9,107,0,23,8,0,1,15,13.333333333333334,471,20.47826086956522,1
RhinoErrorReporter,6,8,35,0,4,2,0,2,2,12.333333333333334,55,13.75,0
NameReferenceGraph,6,6,58,0,8,4,0,3,10,14.666666666666666,383,47.875,0
UnreachableCodeElimination,4,3,66,0,5,1,0,0,2,7.75,231,46.2,1
ReplaceCssNames,2,10,68,0,2,0,0,1,2,12.0,240,120.0,0
ObjectPropertyStringPostprocess,1,1,26,0,1,0,0,0,1,7.0,52,52.0,0
DefinitionSite,0,5,0,0,0,0,0,0,1,0.0,24,0.0,0
GroupVariableDeclarations,6,1,44,0,20,8,0,1,2,10.5,240,12.0,0
Strings,3,0,11,0,5,2,0,3,4,22.333333333333332,441,88.2,0
CheckRequiresForConstructors,4,4,76,0,4,2,0,2,3,13.0,72,18.0,0
MemoizedScopeCreator,7,2,23,0,5,2,0,1,3,14.857142857142858,95,19.0,0
GatherRawExports,4,3,19,0,7,4,0,3,1,13.5,25,3.5714285714285716,0
ExpressionDecomposer,26,6,217,0,24,10,1,4,27,19.0,974,40.583333333333336,0
JSModuleGraph,15,3,136,0,25,12,0,3,19,18.133333333333333,675,27.0,0
InlineFunctions,19,9,298,2,22,11,1,4,33,20.68421052631579,549,24.954545454545453,1
ShadowVariables,1,7,68,0,4,1,0,0,3,7.0,115,28.75,0
GlobalNamespace,18,9,210,0,6,1,0,1,42,12.72222222222222,1431,238.5,1
